ETC_20150317_000001	Kepa
ETC_20171113_029084	Penguin Pop-up Book	펭귄 팝업북				
ETC_20171113_029085	Fried Chicken Poodle Pop-up Book	치킨 푸들 팝업북				
ETC_20171113_029086	Popolion Pop-up Book	포포리온 팝업북				
ETC_20171113_029087	{COUNT} Candies consumed!	사탕:{COUNT}소모				
ETC_20171113_029088	You can only use {COUNT} or more Candies!	사탕 {COUNT}개 이상에서만 사용하실 수 없습니다				
ETC_20171113_029089	Use after {SEC} seconds!	{SEC}초 후 사용 가능!				
ETC_20171113_029090	Unable to use; wrong direction.	막혀있어서 사용할 수 없는 방향 입니다				
ETC_20171113_029091	Check this week's Candy exchange total	이번주 이벤트 상점 사탕 교환량 확인				
ETC_20171113_029092	This week you have exchanged {COUNT} Candies.	이번주 이벤트 상점 사탕 교환량 : {COUNT}개				
ETC_20171127_029093	Adventure Journal error	모험일지 관련 에러				
ETC_20171128_029094	Not a particularly strong monster, but you might end up crying if you attack it without thinking twice. Has a tendency of becoming red as it ages.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 나이가 들면 붉어지는 경향이 있습니다.				
ETC_20171128_029095	Very little is known about the Jukopus' internal structure. However, this particular species is known to live several years.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다. 다만 이 색상은 다년생 풀처럼 여러 해를 삽니다.	ETC_20150317_000015	Very little is known about the Jukopus' internal structure.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.	
ETC_20171128_029096	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack. Egg-laying Marsupial Pokuborn are known to be this color.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오. 유대류나 난생 및 난태생인 포쿠본이 이런 색상을 띱니다.	ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20171128_029097	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack. Pokuborn that have the role of settling conflicts between other Pokuborn are known to be this color.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오. 포쿠본들 사이에 분쟁이 일어나지 않게 조절하는 개체가 이런 색상을 띱니다.	ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20171128_029098	Pokuborn of this color are known to have longer life expectancies than other Pokuborn species.	이 색상의 포쿠본은 다른 포쿠본보다 수명이 깁니다.	ETC_20150317_000024	Even after mutating, their meat is still edible.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.	
ETC_20171128_029099	Despite its appearance, the Pokubu can be quite ferocious. Pokubu that have the role of settling conflicts between other Pokubu are known to be this color.	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다. 이런 색상의 야수형 몬스터는 같은 종 사이의 중재역할을 맡는다고 합니다.	ETC_20150317_000022	There are many things you should be aware of with this monster. Above all, don't get hit by its charge attack.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.	
ETC_20171128_029100	The souls of those who ventured to the underworld now appear as demons.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다				
ETC_20171128_029101	The souls of those who ventured to the underworld now appear as demons. Red Banshees are older demons that have been affected by the great volcanic eruption that occurred in the demonic world one thousand years ago.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다. 붉은 밴시는 천년 전 마계에서 있었던 화산 대폭발의 영향을 받은 오래된 망령입니다.				
ETC_20171128_029102	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time. The reason behind it's color is similar to how shrimp become reddish when they are cooked. Of course, this monster is not a cooked delicacy.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다. 새우 따위가 요리될 때 빨갛게 변하는 것과 비슷한 이유로 이런 빛깔이 됩니다. 물론 살아있는 상태이지만 말입니다.	ETC_20150317_000037	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.	
ETC_20171128_029103	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time. It is speculated that those that had been near death before mutating have become this particular color.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다. 변형되기 전에 빈사 상태에 있다가 죽다 살아난 경우 이런 색상이 된다는 추측이 있습니다.	ETC_20150317_000037	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.	
ETC_20171128_029104	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time. Bushspiders that have to do with providing water to flowers are usually a similar color.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다. 꽃의 수분에 관여하는 크루마보는 이런 빛깔을 띠는 경우가 많습니다.	ETC_20150317_000037	Crawling amongst the shadows of the forest, this monster has evolved greatly in size over time.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.	
ETC_20171128_029105	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant. Specimens of this color are known to give off magic power over the years.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다. 이런 색의 개체는 여러 해를 살면서 마력을 발산한다고 합니다.	ETC_20150317_000045	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.	
ETC_20171128_029106	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant. Specimens of this color usually have parasites or fungi.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다. 기생충이나 곰팡이에 중독된 개체는 이런 색을 띱니다.	ETC_20150317_000045	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.	
ETC_20171128_029107	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant. Specimens of this color are usually older than the others.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다. 이런 색의 개체는 보통 나이가 많은 개체입니다.	ETC_20150317_000045	This monster grew bigger in size, but not much has changed. In the past, this still used to be a deadly and vicious plant.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.	
ETC_20171128_029108	Almost Golem in the world originally crafted for good purposes, but now, They have been working caused by the evil spirit. The Grey Golem is known to enjoy staying in humid environments.	세계에 존재하는 대부분의 골렘은 본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이게 되었습니다. 회섹 골렘은 덥거나 습한 환경을 좋아한다고 합니다.	ETC_20151224_017451	Almost Golem in the world originally crafted for good purposes, but now, They have been working caused by the evil spirit.	세계에 존재하는 대부분의 골렘은 본래는 좋은 의도로 만들어졌으나 지금은 악한 기운에 영향을 받아 움직이게 되었습니다.	
ETC_20171128_029109	Some people say a Meduja can be used to contact the souls of the dead. Specimens that have magical influences are known to be this color.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다. 마법이 작용하는 개체는 이런 색을 띤다고 생각됩니다.	ETC_20150317_000055	Some people say a Meduja can be used to contact the souls of the dead.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.	
ETC_20171128_029110	Some people say a Meduja can be used to contact the souls of the dead. Those that haven't been able to make contact with souls for an extended period of time are known to become this color before dying.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다. 일정 기간안에 영혼과 접촉이 없으면 이런 색상의 개체는 곧 죽습니다.	ETC_20150317_000055	Some people say a Meduja can be used to contact the souls of the dead.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.	
ETC_20171128_029111	Some people say a Meduja can be used to contact the souls of the dead. Specimens of this color are known to have been in contact with many souls.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다. 이런 색상은 많은 영혼과 접촉한 경험이 있는 개체입니다.	ETC_20150317_000059	Researchers have asserted that plants have souls. The Meduja are the mutated form of such souls.	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.	
ETC_20171128_029112	No one has ever seen the face hidden behind its mask. Puragi of this color can be viewed as having protective colors.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다. 이런 색의 푸라기는 일종의 보호색을 하고 있는 것입니다.				
ETC_20171128_029113	No one has ever seen the face hidden behind its mask. Puragi usually choose the colors based on personal preference.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다. 색상은 개체의 취향입니다.	ETC_20150317_000069	No one has ever seen the face hidden behind its mask.	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다	
ETC_20171128_029114	A demon minion found throughout the world. 	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다. 				
ETC_20171128_029115	A demon minion found throughout the world. Zigri of this color have spent a bit too much time under the sun.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다. 이런 색상의 지그리는 마계의 태양에 필요 이상 노출된 개체라고 합니다.	ETC_20150317_000076	A demon minion found throughout the world.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.	
ETC_20171128_029116	A demon minion found throughout the world. Zigri of this color are known to have a certain respect in the demonic world.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다. 이런 색상의 지그리는 마계에서 공훈이 있는 개체라고 합니다.	ETC_20150317_000076	A demon minion found throughout the world.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다.	
ETC_20171128_029117	A demon minion found throughout the world. Zigri of this color have an exhibitionist streak in them.	이 마족 졸개들은 온 세상 곳곳에 출현하여 활개치고 있습니다. 이런 색상의 지그리는 자기 과시욕이 강한 성격이라고 합니다.				
ETC_20171128_029118	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures. Blue Fishermen have magic and will die if all of it is expended.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다. 푸른 피셔맨은 마력을 몸에 품고 있으며 이것이 다 소진되면 죽습니다.	ETC_20150317_000079	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.	
ETC_20171128_029119	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures. Those that have an abnormal amount of arsenic become this color.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다. 체내에 비소를 많이 보유하고 있으면 이런 색상이 됩니다.	ETC_20150317_000079	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다.	
ETC_20171128_029120	The reason why Fishermen are classified as monsters is due to their fishing rods controlling the creatures. Inanimate object Specimen of this color were inanimate objects in an iron-rich environment.	피셔맨이 변이형 몬스터에 속하는 이유는 사물인 낚싯대가 생명체에 영향을 주고 있기 때문입니다. 변이시 철분 함량이 높은 무생물이 변이된 경우 이런 색을 띱니다.				
ETC_20171128_029121	Griba of this color have the characteristics of a therophyte.	이런 빛깔의 그리바는 한해살이 식물의 특성을 지닙니다.				
ETC_20171128_029122	This monster was once described as hard to block and hard to eat. Specimen of this color are usually older.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터. 또한 이런 색상이라면 대개는 나이가 많은 개체입니다.				
ETC_20171128_029123	Specimen of this color usually hibernate during the winter just like certain animals.	이런 색상의 개체는 마치 동물처럼 동면하여 겨울을 나고 다음 해에도 활동을 합니다.	ETC_20150317_000100	This monster was once described as hard to block and hard to eat.	누군가 이 녀석을 품평한 말이 있습니다, 막기도 먹기도 어려운 몬스터.	
ETC_20171128_029124	Specimen of this color have been affected by magic from the demonic world.	일반적인 마법이 아닌 마계의 주술에 영향을 받을 경우 이런 빛깔을 띤다고 합니다.	ETC_20150317_000102	A large, strong, tough monster and reluctant prey of hunters.	크고 강하고 질기지만 일부러 사냥하러 다니기에는 꺼림직한 몬스터입니다.	
ETC_20171128_029125	Kepa age quickly at the expense of their strength. You can tell that it is much older by taking a glance at it's color. Be careful of its pungent odor, which has gotten stronger with age. 	케파가 꽃을 피우느라 폭삭 늙어버렸습니다. 색상만 봐도 늙었다는 사실을 알 수 있습니다. 매운 향이 한층 더 강해졌으니 주의. 	ETC_20150317_000110	Its dilapidated color from aging only substantiates its danger.	늙어 색이 변할 정도로 오래 생존한 케파는 그런 만큼 더 위험합니다.	
ETC_20171128_029126	This plant's leaves are stronger than leather. 	이 식물의 잎은 가죽보다 강하다고 합니다. 	ETC_20150317_000115	This plant's leaves are stronger than leather.	이 식물의 잎은 가죽보다 강하다고 합니다.	
ETC_20171128_029127	This plant's leaf is more strong than leather. However, specimen of this color cannot live for more than one year.	이 식물의 잎은 가죽보다 강합니다. 하지만 이 색상의 종류는 한 해를 넘기지 못하고 다음 해에는 죽습니다.	ETC_20150317_000115	This plant's leaves are stronger than leather.	이 식물의 잎은 가죽보다 강하다고 합니다.	
ETC_20171128_029128	This plant's leaves are stronger than leather. However, fungi can still latch onto it and may make it turn a darker color.	이 식물의 잎은 가죽보다 강하다고 합니다. 그래도 곰팡이는 서식할 수 있고, 감염기간이 오래 되면 까맣게 변해갑니다.	ETC_20150317_000115	This plant's leaves are stronger than leather.	이 식물의 잎은 가죽보다 강하다고 합니다.	
ETC_20171128_029129	Raffly keep hunting smaller insects even after their unfortunate mutation while coming from the demonic world. Unbearable behavior from a demon's point of view.	마계에서 넘어오면서 불운한 변화를 겪은 라플리는 변이된 후에도 작은 곤충을 사냥합니다. 마족이나 마수로서는 경멸을 살 행태입니다.				
ETC_20171128_029130	Raffly keep hunting smaller insects even after their unfortunate mutation while coming from the demonic world. Some say that these colors are actually closer to the Raffly's original colors.	라플리는 변이된 후에도 작은 곤충을 사냥합니다. 일설에는 오히려 이 색상이 원래 라플리 색상이라고 합니다.	ETC_20151224_017459	Raffly hunts small insects, even after transformed.	라플리는 변이된 후에도 작은 곤충을 사냥합니다.	
ETC_20171128_029131	Raffly keep hunting smaller insects even after their unfortunate mutation while coming from the demonic world. From a demon's point of view, this is a waste of time and effort.	라플리는 변이된 후에도 작은 곤충을 사냥합니다. 그리고 이런 색의 라플리는 마계에서 많은 공을 세우거나 사냥에 능숙한 개체입니다. 이 두 가지 사실은 마족의 입장에서 보자면 강력한 개체가 어리석은 일을 하고 있는 상태로 간주됩니다.	ETC_20151224_017459	Raffly hunts small insects, even after transformed.	라플리는 변이된 후에도 작은 곤충을 사냥합니다.	
ETC_20171128_029132	This specimen has become wood-like in texture even though it was mutated from a type of grass. Those that have been affected by demonic magic turn this color.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다. 마족의 주술에 영향을 받은 개체가 이런 색이 됩니다.	ETC_20150317_000124	Even though it mutated from a herb, its entire body is now made of solid wood.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.	
ETC_20171128_029133	This specimen has become wood-like in texture even though it was mutated from a type of grass. Minuscule fungi on its surface cause it to have this color.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다. 이 개체는 표면에 미세한 곰팡이가 이런 색을 나타나도록 합니다.	ETC_20150317_000124	Even though it mutated from a herb, its entire body is now made of solid wood.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.	
ETC_20171128_029134	This specimen has become wood-like in texture even though it was mutated from a type of grass. Specimens that have been able to live long enough will turn this color.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다. 오래 생존한 개체는 이런 색상입니다.	ETC_20150317_000124	Even though it mutated from a herb, its entire body is now made of solid wood.	풀에서 변형되었지만 지금은 몸전체가 단단한 목질입니다.	
ETC_20171128_029135	It won't fall over even if you attack it's legs. There isn't a separate recommended way of attacking it either. Thankfully however, Sakmoli of this color only live for one year.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다. 다만 다행히도 이 색상의 샤크몰리는 한해살이 풀입니다.	ETC_20151224_017460	Not fall down even attacking legs. But, there are no special ways.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다.	
ETC_20171128_029136	It won't fall over even if you attack it's legs. There isn't a separate recommended way of attacking it either. Peculiarly, they molt their skin and live for several years.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다. 특이하게도 탈피를 하여 여러 해를 삽니다.	ETC_20151224_017460	Not fall down even attacking legs. But, there are no special ways.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다.	
ETC_20171128_029137	It won't fall over even if you attack it's legs. There isn't a separate recommended way of attacking it either. It has the average life expectancy of a Sakmoli.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다. 수명에 있어서는 본래 샤크몰리의 수명 정도를 지닙니다.	ETC_20151224_017460	Not fall down even attacking legs. But, there are no special ways.	다리를 공격한다고 쓰러지지 않습니다. 그렇다고 특별히 권장되는 퇴치법은 없습니다.	
ETC_20171128_029138	Ghosts that have been affected by demons may receive more power and rise in rank if they endure for 100 years. However, it may still look the same as a normal Rikaus.	마족의 영향을 받은 망령이 백 년 이상의 세월을 견뎌내면 더 큰 힘을 부여받고 지위가 상승되기도 합니다. 다만 이 경우에도 일반 리카우스와 겉으로는 동일할 수도 있습니다.				
ETC_20171128_029139	Ghosts affected by demons often change their appearance in a way similar to this. Ghosts of this color have are said to have had complexes when they were living.	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다. 이런 색의 망령은 생전의 열등감을 많이 지니고 있다고 합니다.				
ETC_20171128_029140	Ghosts affected by demons often change their appearance in a way similar to this. Ghosts of this color usually mean that they have taken many lives.	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다. 특히 많은 살생을 하거나 공이 많은 경우 이런 색상이 됩니다.	ETC_20150317_000134	Ghosts affected by demons often change their appearance in a way similar to this.	마족의 영향을 받은 유령은 이처럼 생김새가 달리지는 일이 많습니다.	
ETC_20171128_029141	Ghost caused by demons has various form's features and color. This color shows that the ghosts is under a high ranking demon's influence.	마족의 영향을 받은 유령은 다양한 형태의 외모와 색상을 지니고 나타납니다. 이런 색상은 어떤 상급 마족의 세력에 속해 있다는 뜻입니다.	ETC_20160925_024240	Ghosts under the influence of demons can take various forms and appearances.	마족의 영향을 받은 유령은 다양한 형태의 외모와 색상을 지니고 나타납니다.	
ETC_20171128_029142	It is so fortunate that Woodsman is not an active monster. However, it still lives longer than most monsters.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다. 그래도 일반적인 우드맨보다는 오래 삽니다.	ETC_20151224_017464	It is so fortunate that Woodsman is not an active monster.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다.	
ETC_20171128_029143	It is so fortunate that Woodsman is not an active monster. Those of this color are usually from the White Tree Forest. How they ended up here depends on the individual monster.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다. 현재 어디에 있든 이런 색 종류 우드맨은 흰나무 숲 지역 출신입니다. 어떻게 이동했는지는 개체별로 다릅니다.	ETC_20151224_017464	It is so fortunate that Woodsman is not an active monster.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다.	
ETC_20171128_029144	It is so fortunate that Woodsman is not an active monster. Those that have stayed in one area for a long time usually turn this color.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다. 한 자리에서 오래 산 개체가 보통 이런 색입니다.	ETC_20151224_017464	It is so fortunate that Woodsman is not an active monster.	우드맨이 활동성이 떨어지는 몬스터란 사실은 큰 행운입니다.	
ETC_20171128_029145	The Madakia were created by court wizards to fend off intruders that were more dangerous than grave robbers. It is based on the forceful summoning of dark magic.	궁정마법사들은 침입자가 단순 도굴꾼이 아닐 때를 대비해 메다키아를 만들었습니다. 즉 흑마법에 기반한 강제 소환술을 기반으로 합니다.				
ETC_20171128_029146	Their numbers grew after the Great Plant Cataclysm; now they tend to compete with humans for territory. Grey monsters are known for being filthy.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다. 회색 개체는 더럽다고 합니다.	ETC_20150317_000176	Their numbers grew after the Great Plant Cataclysm; now they tend to compete with humans for territory.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.	
ETC_20171128_029147	Their numbers grew after the Great Plant Cataclysm; now they tend to compete with humans for territory. Grey monsters are known for having dirty surfaces.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다. 회색 개체는 겉이 매우 더럽다고 합니다.	ETC_20150317_000179	Chupacabras move quite stealthily. That being said, it's much more dangerous for humans if there are elite Chupacabras.	츄파카브라는 은밀하게 움직입니다. 그리고 이 점은 엘리트 츄파카브라의 경우 인간에게 더욱 위험합니다. 	
ETC_20171128_029148	Their numbers grew after the Great Plant Cataclysm; now they tend to compete with humans for territory. There are some that exhibit marsupial-like features.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다. 같은 종내에서도 이처럼 유대류의 특징을 지닌 종이 있습니다.	ETC_20150317_000176	Their numbers grew after the Great Plant Cataclysm; now they tend to compete with humans for territory.	초목재앙 이후 수가 늘어나면서 인간과 영역을 다투는 경향이 커졌습니다.	
ETC_20171128_029149	Some say that a Popolion can even shatter glass with it's high pitched roar. Popolion's of this color are known to be suffering from a type of leukemia. However, it isn't as deadly to them as it is to humans. 	누군가에 의하면 포포리온의 고음은 유리병도 깨뜨릴 수 있다고 합니다. 이런 색의 포포리온은 일종의 백혈병을 앓고 있는 개체입니다. 다만 이들에게는 인간의 그것만큼 위험한 질병은 아닙니다. 				
ETC_20171128_029150	This monster, which is a more evolved form of Coliflower, manages to evaluate it's opponent a bit before attacking.	더 발달한 콜리플라워인 이 몬스터는 상대를 어느 정도는 판별하여 공격한다고 합니다.	ETC_20151224_017471	This monster is not especially hostile towards humans but attacks all all warm-blooded animals.	이 몬스터는 딱히 인간에게 적대적이진 않으나 모든 항온동물을 공격합니다.	
ETC_20171128_029151	Despite its appearance, the Pokubu can be quite ferocious. 	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다. 				
ETC_20171128_029152	Despite its appearance, the Pokubu can be quite ferocious. This particular specimen is also filthy.	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다. 이 종류는 더럽기까지 합니다.	ETC_20150317_000212	Despite its appearance, the Pokubu can be quite ferocious.	겉모습이 어떻든 포쿠부는 흉폭한 야수입니다.	
ETC_20171128_029153	The question of whether this is a candle that turned into a monster or whether a monster and candle were transfused is meaningless. The many monsters that came after Medzio Diena are to be killed, not studied. This color of Candle Spider shows that it has been affected by magic.	양초가 야수로 변한 것이냐 야수가 양초와 결합한 것이냐는 질문은 의미가 없습니다. 신수의 날 이후 나타난 수많은 변형 몬스터는 호기심이 아니라 퇴치의 대상입니다. 이 색상의 양초거미는 마력의 영향을 많이 받을 경우 생깁니다.	ETC_20151224_017475	There is no meaning of the question that candle to change monster or monster to change candle. Since Medzio Diena, many monsters appeared is target to kill not curiosity.	양초가 야수로 변한 것이냐 야수가 양초와 결합한 것이냐는 질문은 의미가 없습니다. 신수의 날 이후 나타난 수많은 변형 몬스터는 호기심이 아니라 퇴치의 대상입니다.	
ETC_20171128_029154	The question of whether this is a candle that turned into a monster or whether a monster and candle were transfused is meaningless. The many monsters that came after Medzio Diena are to be killed, not studied. Yellow Candle Spiders are known to have been affected by demonic magic.	양초가 야수로 변한 것이냐 야수가 양초와 결합한 것이냐는 질문은 의미가 없습니다. 신수의 날 이후 나타난 수많은 변형 몬스터는 호기심이 아니라 퇴치의 대상입니다. 특히 노란 양초거미는 마족의 마기에 강한 영향을 받았기에 더욱 그렇습니다.	ETC_20151224_017475	There is no meaning of the question that candle to change monster or monster to change candle. Since Medzio Diena, many monsters appeared is target to kill not curiosity.	양초가 야수로 변한 것이냐 야수가 양초와 결합한 것이냐는 질문은 의미가 없습니다. 신수의 날 이후 나타난 수많은 변형 몬스터는 호기심이 아니라 퇴치의 대상입니다.	
ETC_20171128_029155	This is not the result of a flower blooming from a dead body. It's a bit awkward to say it's a 'fruit'. Those that can live for several years without a corpse turn this color.	엄밀히 말하면 시체에서 피어난 꽃이 아니라 결과물입니다. 그렇다고 열매라고 하기에도 어색하기는 합니다. 시체가 없어도 여러 해를 살 수 있는 종류는 이런 색상을 띱니다.	ETC_20151224_017476	This is not the result of a flower blooming from a dead body. It's a bit awkard to say it's a 'fruit'.	엄밀히 말하면 시체에서 피어난 꽃이 아니라 결과물입니다. 그렇다고 열매라고 하기에도 어색하기는 합니다.	
ETC_20171128_029156	This is not the result of a flower blooming from a dead body. It's a bit awkward to say it's a 'fruit'. A specimen of this color can only live for a year.	엄밀히 말하면 시체에서 피어난 꽃이 아니라 결과물입니다. 그렇다고 열매라고 하기에도 어색하기는 합니다. 하여간 이런 색상의 시체꽃이라면 한 해만 살고 죽습니다.	ETC_20151224_017476	This is not the result of a flower blooming from a dead body. It's a bit awkard to say it's a 'fruit'.	엄밀히 말하면 시체에서 피어난 꽃이 아니라 결과물입니다. 그렇다고 열매라고 하기에도 어색하기는 합니다.	
ETC_20171128_029157	This was actually a frog shaped doll that became a monster during Medzio Diena and gained wings in the process.	실은 이 몬스터는 개구리 인형이 신수의 날과 환경에 따라 몬스터화 된 것으로 날개를 지닌 모습이 되었습니다.				
ETC_20171128_029158	This was actually a frog shaped doll that became a monster during Medzio Diena and gained wings in the process. It is unknown why specimen of this particular color have poison.	실은 이 몬스터는 개구리 인형이 신수의 날과 환경에 따라 몬스터화 된 것으로 날개를 지닌 모습이 되었습니다. 이 색상의 경우 이유는 모르지만 체내에 독을 품고 있다고 합니다.	ETC_20150317_000225	Due to its environment, this monster has come to have a variety of forms. This one has evolved to have wings.	개구리는 환경에 따라 다양한 형태로 몬스터화 되었는데 이 경우에는 날개를 지니도록 변형되었습니다.	
ETC_20171128_029159	This was actually a frog shaped doll that became a monster during Medzio Diena and gained wings in the process. Those that live in dirty environments become this color.	실은 이 몬스터는 개구리 인형이 신수의 날과 환경에 따라 몬스터화 된 것으로 날개를 지닌 모습이 되었습니다. 더러운 환경에 거주하는 개체가 보통 이런 색이 됩니다.				
ETC_20171128_029160	An animal that had been turned into a lesser demon a long time ago, they come in countless types due to their populous numbers.	오래 전에 하급 마족으로 편입된 동물로 마계에는 이들이 수를 셀 수 없을 정도로 많고 종류도 다양하다고 합니다.				
ETC_20171128_029161	These were originally from our world but became scarce after migrating to the demonic world. Their numbers have been increasing lately. Those that have been affected by ghosts may turn black.	이들은 원래 우리 세상의 동물이었으나 마계로 편입된 후 우리 세계에서는 희귀한 생물이었으나 근래 숫자가 늘어났습니다. 유령 계통의 영향을 받은 개체는 이처럼 까맣게 되기도 합니다.				
