QUEST_20150317_000001	Bitte wähle den Benutzer, dies erfordert ein Quest-Update.
QUEST_20160723_004073	Resident in search of a box
QUEST_20160723_004074	Have you by any chance seen an expensive-looking box nearby?{nl}Would you please bring it to me if you do find it?
QUEST_20160723_004075	Thank you so much for finding it!{nl}This isn't much, but it is a sign of my appreciation.
QUEST_20160723_004076	There is a lost item.{nl}Try looking for it's owner.
QUEST_20160723_004077	There are no lost items today.{nl}Please come back tomorrow.
QUEST_20160723_004078	Someone seems to be looking for a box at West Siauliai Woods.
QUEST_20160723_004079	There are events taking place.{nl}Please choose an event that you wish to participate in.
QUEST_20160723_004080	Expensive-looking Box
QUEST_20160723_004081	Do you really wish to use it?{nl}You will complete the event quest once you use it.
QUEST_20160811_004082	Earth Tower Lolopanther Area (Recommended Lv: 280) - Only you and your party members can enter together. {nl}Are you sure you want to enter?
QUEST_20160811_004083	Please enter the next event.
QUEST_20160811_004084	It looks like the key the Kedoran Alliance is looking for... {nl}May I have a closer look at it?
QUEST_20160811_004085	This key... It looks like the one the Kedoran Alliance is looking for.{nl}Mind if I have a look?
QUEST_20160811_004086	Come see me when you have more.
QUEST_20160811_004087	The Alliance needs a little more than that.
QUEST_20160811_004088	The Kedoran Alliance will thank you for this.{nl}Thank you for helping.
QUEST_20160811_004089	Starter Defense Event Guide
QUEST_20160811_004090	We need your help to stop the demons.{nl}Please, come with us.
QUEST_20160811_004091	I'll tell you if I need help.
QUEST_20160811_004092	I don't think the demons will be back for today.{nl}Thank you.
QUEST_20160811_004093	Medium Defense Event Guide
QUEST_20160811_004094	The demons are taking over.{nl}Please, help us defeat them.
QUEST_20160811_004095	Many others are waiting for your help.{nl}Go and help them.
QUEST_20160811_004096	The wave of demons should be gone for another day.{nl}Thank you.
QUEST_20160811_004097	Secret Device
QUEST_20160811_004098	Visiting Room Tombstone
QUEST_20160811_004099	Long live the kingdom of the Great King Kadumel.
QUEST_20160811_004100	Year 474{nl}The construction of Kalejimas Prison is completed under the name of King Kadumel.
QUEST_20160811_004101	Year 478{nl}King Kadumel, responsible for the construction of Kalejimas prison, is deceased.
QUEST_20160811_004102	Year 1001{nl}Kalejimas Prison undergoes maintenance in celebration of the millenary.
QUEST_20160811_004103	May the offenders of Kalejimas Prison repent before the name of the goddesses.
QUEST_20160811_004104	One demon barrier is down.{nl}Four more to go now.
QUEST_20160811_004105	Let's head to the Storage now.{nl}There's another spirit there hiding from the monsters.
QUEST_20160811_004106	That's two barriers.{nl}We should be fine if we keep going at this pace.
QUEST_20160811_004107	Be careful around the Solitary Cells.{nl}You never know when the demons will be on to us.
QUEST_20160811_004108	You heard about the intruder, right?{nl}I'm thinking it's Zanas.{nl}
QUEST_20160811_004109	This is someone who took his own life to become a spirit and escape.{nl}He's gonna be in trouble when we find him.
QUEST_20160811_004110	Didn't Grinender catch Zanas' spirit?{nl}They should be at the Common Room... Did you go an salute?
QUEST_20160811_004111	It's an order to capture the intruder.{nl}If it's human we kill them, if it's Zanas we take him.
QUEST_20160811_004112	Grinender created a powerful magic circle.{nl}No intruder is gonna enter the Common Room.
QUEST_20160811_004113	Only those with the Grinender Seal can get past the magic circle.{nl}You didn't lose yours, did you?
QUEST_20160811_004114	This makes three demon barriers down.{nl}
QUEST_20160811_004115	Let's go to the Workshop.{nl}Nebulas has another one of my spirits there.{nl}
QUEST_20160811_004116	We'll know more if we rescue that spirit.{nl}Meet me at the Worshop.
QUEST_20160811_004117	Wall
QUEST_20160811_004118	There's something written here.{nl}Shall we read some of it?
QUEST_20160811_004119	What will you use?
QUEST_20160811_004120	There's only one demon barrier left now.
QUEST_20160811_004121	I still have a bad feeling somehow.{nl}We should be careful in the Interrogation Room.
QUEST_20160811_004122	I... I feel a very intese power in Nebulas.{nl}This is dangerous.{nl}
QUEST_20160811_004123	We should get out of here.{nl}I'll use the Teleport Magic Scroll!
QUEST_20160811_004124	This is my last calling.{nl}I just hope this will be enough to complete my mission.{nl}
QUEST_20160811_004125	I'll deploy the Dominance Magic now.{nl}Once it's activated, I'll be gone forever.{nl}
QUEST_20160811_004126	I'm sorry I couldn't be with you until the end.{nl}Defeat Nebulas, take back the revelation.
QUEST_20160811_004127	It's too late, Nebulas!{nl}The demon barrier will be destroyed and you too will end at the hands of the Revelator.
QUEST_20160811_004128	Savior.{nl}Many are those who continue to sacrifice for the salvation of our world.{nl}
QUEST_20160811_004129	I knew well what destiny awaited Zanas...{nl}And I knew he himself was ready to accept it, yet I had no choice but to trust him with the revelation.{nl}
QUEST_20160811_004130	The power that led Zanas, a mere boy, unto the revelation...{nl}His last breath, his last prayer... were but for your own and our world's salvation.{nl}
QUEST_20160811_004131	He shall be remembered for as long as I live.{nl}
QUEST_20160811_004132	I understand this is a sin that cannot be forgiven.{nl}But the lives being lost in our world every day are far too many.{nl}
QUEST_20160811_004133	A grave disaster is upon us...{nl}The same disaster that forced us to give up on the petrification curse, that nearly reduced the kingdom to ruins.{nl}
QUEST_20160811_004134	The goddess that could not be saved will soon be free of Her chains.{nl}
QUEST_20160811_004135	Past chains of a relinquished salvation crushing Her...{nl}The one taken by the curse of the demon queen shall descend once more as the Goddess of Destruction.{nl}
QUEST_20160811_004136	Savior. You must go to the caves holding the hidden goddess captive.{nl}Please... protect Her from the demon queen.
QUEST_20160811_004137	Letters of a Prisoner
QUEST_20160811_004138	To my dear parents,{nl}How are you? I hope you're safe and healthy.{nl}I sneaked out of breakfast today to write to you.{nl}Sorry I couldn't reply sooner; I was busy.{nl}Weekdays always make me a little anxious.{nl}On prayer days, the prison guards don't mind us as much so it's not that bad.{nl}
QUEST_20160811_004139	I'm doing well myself.{nl}I'm not sick or hurt.{nl}Not much is left for me of this hard prison life, either.{nl}Who knows, I could be free by the time this letter reaches you.{nl}To think it was all because of one mistake... I sure regret those days.{nl}I miss you a lot.{nl}Your son, Gav.{nl}
QUEST_20160811_004140	P.S.{nl}The guards said there was an earthquake at the capital.{nl}Is everything okay in Fedimian?{nl}Please, be careful.
QUEST_20160811_004141	Let me have a look.{nl}
QUEST_20160811_004142	Hmm... This was written by Gav. He used to live around here ten years ago.{nl}I'm too old to remember why he was in prison, but...{nl}
QUEST_20160811_004143	I know his parents moved to Delmore a few years ago.{nl}They did return to Fedimian a couple of times after that... but we lost touch lately.{nl}
QUEST_20160811_004144	You can leave the letter to me.{nl}I'll make sure to deliver it to them when they return.
QUEST_20160811_004145	Zanas' Echo
QUEST_20160811_004146	I can hear my own voice...{nl}That must mean Nebulas was defeated and you have the revelation.{nl}
QUEST_20160811_004147	That's great.{nl}I knew you could do it.{nl}
QUEST_20160811_004148	I spent a lot of time in prison.{nl}Wondering... I'm just a man, what could I possibly do?{nl}
QUEST_20160811_004149	I spent years hiding the revelation...{nl}And many more trying to protect it from the demons.{nl}
QUEST_20160811_004150	I was chased by them and had no choice but to split my spirit with a magic device...{nl}It was not fun.{nl}
QUEST_20160811_004151	I became tired...{nl}Waiting for a Revelator I wasn't even sure was going to come.{nl}
QUEST_20160811_004152	And then you appeared.{nl}I could finally complete my mission.{nl}
QUEST_20160811_004153	I couldn't stay for long but...{nl}I'm glad you're the Revelator.{nl}
QUEST_20160811_004154	There's no way I could defeat Nebulas without you.{nl}I dunno about you, but I made a really precious friend here.{nl}
QUEST_20160811_004155	Sorry I couldn't be with you until the end.{nl}And thank you.{nl}
QUEST_20160811_004156	Goodbye?
QUEST_20160811_004157	The sound of Zanas' voice is heard.
QUEST_20160811_004158	There seems to be a sound coming from somewhere.
QUEST_20160811_004159	Reagent Maker
QUEST_20160811_004160	What materials do you wish to use?
QUEST_20160811_004161	Recipe List
QUEST_20160811_004162	Overgrowth Neutralizer{nl}A neutralizing agent for returning plants affected by an overgrowth solution to their normal state.{nl}First, you'll need the black catalyst solution from the storage.{nl}Add the catalyst to the reagent making magic circle to make the neutralizer.{nl}
QUEST_20160811_004163	How to Use the Reagent Making Circle{nl}First, you need to add magic to the reagent making circle.{nl}You will see lights appear around the circle after you add the magic.{nl}Activate the lights starting from the fastest one to turn on the magic circle.{nl}
QUEST_20160811_004164	Antidote{nl}A solution to detoxify overgrown plants.{nl}You will need Barha herbs and Griba juice.{nl}With the reagent maker, process the Barha herbs on high temperature and and Griba juice on medium temperature.{nl}Pour both processed ingredients in a flask and add water to make the antidote.{nl}
QUEST_20160811_004165	How to Enhance an Antidote{nl}Antidotes alleviate the symptoms of intoxication, but they don't completely remove the toxins.{nl}As such, there is a need to enhance this effect.{nl}Sarma found from research that adding specific ingradients can increase the power of antidotes tenfold.
QUEST_20160811_004166	Sarma's Research Documents
QUEST_20160811_004167	I found by experimenting that Rafflesias aren't affected by venom.{nl}The results show that their sticky sap is resistant to toxins.{nl}By adding sticky Rafflesia sap to an antidote solution, then, I verified a remarkable increase in its effectiveness.{nl}Using this could allow the other researchers to work with stronger types of poison.
QUEST_20160811_004168	I can't move around because of the demon barriers.{nl}There's five of them, you see?
QUEST_20160811_004169	I think we can talk here.
QUEST_20160811_004170	We'll need memories if we're going to get the Revelatin back.{nl}I should round up my spirits.
QUEST_20160811_004171	I don't know what I'd do if the demons had found me first while I was hiding.{nl}Fortunately you're here now, I'm glad.
QUEST_20160811_004172	We need to be really careful from now on.
QUEST_20160811_004173	The demons gotta be out of their minds by now.{nl}We should move.
QUEST_20160811_004174	We need the memories of my spirit that's in the workshop.{nl}It'll have important clues about the revelation.
QUEST_20160811_004175	I'm glad you came before it was too late.{nl}I bet Goddess Laima is the one who guided you here.
QUEST_20160811_004176	We're almost done gathering up my spirits.{nl}We'll find the revelation in no time.
QUEST_20160811_004177	Something's wrong.{nl}I have this weird feeling.
QUEST_20160811_004178	Nebulas is not one to be joked with.{nl}We should hurry.
QUEST_20160811_004179	A curious object arrived at the Alliance recently.{nl}It came from outside the kingdom, but there was a slight problem with it.{nl}
QUEST_20160811_004180	It's a sort of stick with strips of paper on it, and whoever touches it starts to see ghosts and other strange things.{nl}People at the Alliance were talking about disposing of it, they think it's evil.{nl}
QUEST_20160811_004181	I'm not sure if we should throw it away though.{nl}Will you have a look at it instead?{nl}Who knows, it could be important.
QUEST_20160811_004182	Divine Spirit Gem
QUEST_20160811_004183	A strange energy is felt in the air.
QUEST_20160811_004184	Something went wrong...{nl}Try another way.
QUEST_20160811_004185	There isn't much of a reaction?
QUEST_20160811_004186	Abandoned Altar
QUEST_20160811_004187	There is no reaction?
QUEST_20160811_004188	Divine Spirit Sphere
QUEST_20160811_004189	The Divine Spirit Sphere disappeared without any other reaction?
QUEST_20160811_004190	Huh?{nl}Is that a gohei?{nl}
QUEST_20160811_004191	I met this person wearing some funny-looking clothes the other day and they had one too.{nl}Looks like they came from outside of the kingdom...{nl}
QUEST_20160811_004192	They said something about what they were doing but I can't remember what.{nl}They were headed to the bee farm though?
QUEST_20160811_004193	They asked how to get to the bee farm.{nl}So I told them, you take the shortcut from the underground passage and you're there.
QUEST_20160811_004194	If only we had the skill, we could go with you and help you...{nl}I'm just sorry about my own limitations.
QUEST_20160811_004195	To think they wanted to kidnap a person and run away...{nl}That was no normal human being.
QUEST_20160811_004196	My father has been bedridden for a long time.{nl}An elder who came by our village had a look at him the other day.{nl}He used to be a doctor and said Tini shiny horns will help.
QUEST_20160811_004197	I came to Thaumas Trail because this is our last hope.{nl}But fighting those monsters is just too much for me.
QUEST_20160811_004198	{nl}Please.{nl}Get the Tini shiny horns for me.
QUEST_20160811_004199	Right. The Order helped us a lot on our way here.{nl}They were nothing but friendly to us.
QUEST_20160811_004200	{nl}The way they worship the goddesses may be a little different, but taking over the monastery...{nl}I don't think the monks are lying, but I can't believe that.
QUEST_20160811_004201	My friend is not one to tell lies.
QUEST_20160811_004202	{nl}Someone who believes in good would never take over a monastery and expel the monks.{nl}I'll take my friend's word and cancel this pilgrimage.
QUEST_20160811_004203	We came all the way here, so we'll keep heading to the monastery for now.{nl}The Order of the Tree of Truth I know wouldn't harm us.
QUEST_20160811_004204	{nl}Take care, then. We'll be on our way.
QUEST_20160811_004205	Thank you.{nl}With all these monsters around it's hard to pull myself together, as much as I want to.
QUEST_20160811_004206	{nl}If you don't see any leaves, try again later.{nl}Some leaves may have fallen meanwhile.
QUEST_20160811_004207	Deaft the Yellow Dumaros in this region.
QUEST_20160811_004208	Old Tomb
QUEST_20160811_004209	Here lies a humble servant of the goddess who all sacrificed until their deserved eternal rest.{nl}To fill the world with the grace of the goddesses.{nl}To protect it from the evil hands of the demons.
QUEST_20160811_004210	Uh...hm? What?{nl}I don't know either.
QUEST_20160811_004211	{nl}I'm just tired... I made it all the way here and now I can't even go inside the monastery...{nl}Tree of Truth followers only.
QUEST_20160811_004212	I don't know why I'm so tired. Are you okay?{nl}Usually this place would be filled with monsters?
QUEST_20160811_004213	{nl}Not anymore though.{nl}Ever since the Order of the Tree of Truth put that black crystal there, they don't even dare to come near.
QUEST_20160811_004214	{nl}The crystal is a relic from the Divine Tree, they say.{nl}Seeing how the monsters won't even dare to come close, I'd say they're right.
QUEST_20160811_004215	I do feel a little sluggish... but the people from the Order said not to worry.{nl}It's all part of receiving the blessing of the Divine Tree, they said.
QUEST_20160811_004216	{nl}There's nothing to worry about if we just listen to them...{nl}Truth is, nothing they said so far is wrong.
QUEST_20160811_004217	{nl}Let me tell you a secret. The crystal in the Shinikti Vacant Lot is a goddess!{nl} Every night it turns into Goddess Lada and tells us to believe the teachings of the Tree of Truth?
QUEST_20160811_004218	We've all been blessed by the Divine Tree and the goddess.{nl}And I know...
QUEST_20160811_004219	{nl}This is all because of the Order of the Tree of Truth...{nl}Goddess Vakarine also appears every night, telling us to follow the Order.
QUEST_20160811_004220	{nl}They chased away the monsters... they set up a divine relic.{nl}You can go the Shinikti Vacant Lot if you want to pray to the relic?
QUEST_20160811_004221	High Officer Domantas
QUEST_20160811_004222	You. I remember you. Said your name was Stella, was it?{nl}You ought to convert to the Divine Tree already if you don't want to end up like the others.
QUEST_20160811_004223	{nl}You may have been innocent yourself, but the monastery was corrupt.{nl}Do you deny that there were demons among you?
QUEST_20160811_004224	{nl}Let's not be stubborn now. That helper your brought won't be of any use to you.{nl}I trust that you know what I'm capable of by now.
QUEST_20160811_004225	I remember the day you mercilessly slaughtered my brothers very well indeed.
QUEST_20160811_004226	{nl}I have but three things to tell you.{nl}One, I will never abandon the teachings of the goddess.
QUEST_20160811_004227	{nl}Two, the person next to me is not a common traveller, but a Revelator.
QUEST_20160811_004228	{nl}Three, the real demons are hiding among you!{nl}Allow me to prove it.
QUEST_20160811_004229	Matas, what happened?{nl}You... you converted to the Order of the Tree of Truth?
QUEST_20160811_004230	I'm deeply ashamed... But I had no other choice.{nl}They captured us and kept us starved?
QUEST_20160811_004231	{nl}The pain was unimaginable.{nl}It was as if my entire body was burning down?
QUEST_20160811_004232	{nl}I realize there are still brothers who refuse to surrender.{nl}My words must sound like an excuse.
QUEST_20160811_004233	{nl}However... They're not just starving them, they're threatening their own lives!
QUEST_20160811_004234	{nl}When the goddesses Themselves show no signs of returning, there is no hope whatsoever.
QUEST_20160811_004235	You're wrong.{nl}The goddesses will shine the light of salvation upon us.
QUEST_20160811_004236	{nl}I have with me a Revelator.{nl}Leave behind your past mistakes and help us take back the monastery.
QUEST_20160811_004237	What did you say?{nl}This is... a Revelator?
QUEST_20160811_004238	{nl}That means we have a real chance of expelling the Order from the monastery!{nl}
QUEST_20160811_004239	Please, let me help.{nl}I shall pay for my sin after we recover the monastery.
QUEST_20160811_004240	Very well. However...{nl}Did you happen to see the keeper of the monastery keys among the brothers who escaped?
QUEST_20160811_004241	I did see them, but...{nl}To tell you the truth about what happened... I'm very sorry.
QUEST_20160811_004242	{nl}The keeper was taken by High Officer Medea and lost their life.{nl}The keys are with Medeja now, I'm afraid.
QUEST_20160811_004243	{nl}Medea was here on duty at the time, unfortunately.
QUEST_20160811_004244	{nl}She specializes in hallucinations.{nl}She can make others see what she wants, I imagine that's why she was working outside the monastery.
QUEST_20160811_004245	{nl}She did say, however, that she had been sent by the High Officer of an organization above the Order.{nl}The strong divine energy of the monastery was interfering with their power; she came to suppress it.
QUEST_20160811_004246	{nl}High Officer Domantas is also attempting to contaminate the energy of the monastery.{nl}They both want to suppress its divine power.
QUEST_20160811_004247	{nl}I was called for this very same task and was reporting to them the locations where the energy is strongest.
QUEST_20160811_004248	It's a shame to see such a kind person gone...{nl}But this is not the time to commiserate.
QUEST_20160811_004249	{nl}We must stop Medea's cruel deeds and take back the keys to the monastery.{nl}Brother Matas. How can we lure Medea?
QUEST_20160811_004250	Destroying the energy suppressing devices as you intended is likely the best way to go about it.{nl}There are more in Rijekavi Plains and Krasjia Hill.
QUEST_20160811_004251	{nl}Go and destroy both devices.{nl}I'll stay with Medea and convince her to take matters into her own hands.
QUEST_20160811_004252	{nl}May the divine grace of the goddesses be with you both.
QUEST_20160811_004253	You're very hardworking.{nl}Managed to get the last device in the end.
QUEST_20160811_004254	{nl}You seem uncertain.{nl}There should be nothing more to hide now, should there?
QUEST_20160811_004255	Did you not hear about my specialty?{nl}That's a shame. The one called Stella is already under my power.
QUEST_20160811_004256	{nl}She's rather popular with the monks, isn't she? Having her surrender will do wonders in converting them.{nl}Do you see? This was all to get to you both.
QUEST_20160811_004257	{nl}I heard you defeated Domantas. Not quite the commoner, are you?{nl}And yet, you were no match for my wits.
QUEST_20160811_004258	{nl}You have no choice now but to become a loyal puppet of our Order.{nl}When my superiors see your talent, losing one or two devices will be nothing but a minor concern to them.
QUEST_20160811_004259	{nl}Now, convert to the Order.
QUEST_20160811_004260	Not a weak mind, I see, you can even move inside that magic circle.{nl}But then, I'd already figured that from the way you refused my kind proposal. I guess you've made your mind, then?
QUEST_20160811_004261	The magic circle is activated.{nl}Fortunately we have brother Matas watching out for us.
QUEST_20160811_004262	{nl}Let's head to the monastery now.
QUEST_20160811_004263	It seems, not enough demons have been defeated to satisfy the dead.
QUEST_20160811_004264	High Officer Deymantas
QUEST_20160811_004265	Well look who we have here.{nl}If it isn't Stella, head of the monastery library!
QUEST_20160811_004266	{nl}I heard a lot about you from the other monks. Nice to finally meet you.{nl}I figured you would do anything to come back, from the things I heard.
QUEST_20160811_004267	{nl}Are you perhaps here to rescue the brothers?{nl}Seeing how you broke the barrier, you seem not just brave but rather clever as well.
QUEST_20160811_004268	{nl}I'm afraid your brothers will soon join our Order, however.{nl}And you will be next, of course. The question is whether we need to force you or not.
QUEST_20160811_004269	{nl}The so-called Revelator you brought along has hurt my kin and can therefore not be spared, but you...{nl}I am giving you a final chance.
QUEST_20160811_004270	{nl}Be reborn under the Order of the Tree of Truth.
QUEST_20160811_004271	You are not mere believers of another form of faith.
QUEST_20160811_004272	{nl}You are an abomination.{nl}Do not try to hide the fact that it's the demons who are behind you.
QUEST_20160811_004273	{nl}I am aware that you yourself are a demon.{nl}Know that for as long as we live, neither I nor the Revelator will ever abandon the grace of the goddesses.
QUEST_20160811_004274	{nl}Leave our monastery and release our brothers immediately!
QUEST_20160811_004275	It that your final choice?{nl}The noble martyr?
QUEST_20160811_004276	{nl}As you wish. We have plenty of talent.{nl}No need to insist any more with you.
QUEST_20160811_004277	{nl}Let the Divine Tree take your spirit then, no one will ever even know you're dead.
QUEST_20160811_004278	Thank you.{nl}I'll stay and watch over the brothers.
QUEST_20160811_004279	I would have left already if this wasn't my hometown.{nl}Where on earth were all the Vubbes hiding before they crawled out?
QUEST_20160811_004280	It is said that there are monsters holding on to treasures.{nl}You will be able to recieve a reward by defeating that monster.{nl}Do you wish to start the event quest?
QUEST_20160811_004281	You can utilize the Adventure Journal for more information.{nl}You will have a chance of getting the reward after defeating the specified monsters.{nl}You will only be able to recieve the quest and reward once per day.
QUEST_20160811_004282	There are no more available quests.{nl}Please check again tomorrow.
QUEST_20160811_004283	Event Reward
QUEST_20160811_004284	You have defeated the monster that had the treasure.{nl}The reward is now in your inventory.
QUEST_20160816_004285	Hair Accessory Selection Box
QUEST_20160909_004286	A new event has started.{nl}Collect five Root Essences for a chance to pick a number.{nl}Then, guess the lucky number correctly to win your prize.{nl}You have a chance to obtain Root Essences every time you destroy a Tree Root Crystal.{nl}Will you join the event?
QUEST_20160909_004287	Collect more Root Essences.{nl}You need at least five Root Essences to guess the lucky number.{nl}You have a chance to obtain Root Essences every time you destroy a Tree Root Crystal.
QUEST_20160909_004288	Come back again tomorrow.
QUEST_20160909_004289	Select a number.{nl}You must guess the lucky number correctly to win the prize.
QUEST_20160909_004290	Congratulations! You guessed the lucky number correctly. The prize will be sent to your inventory.
QUEST_20160909_004291	Unfortunately that is not the lucky number. Try picking a higher number next time.
QUEST_20160909_004292	Unfortunately that is not the lucky number. Try picking a lower number next time.
QUEST_20160922_004293	The Quest Item has been locked.{nl}Please unlock the item.
QUEST_20160925_004294	And to protect you...{nl} I could do no more than to hide you amongst many other Revelators.
QUEST_20160925_004295	What will you trade these for?
QUEST_20160925_004296	You gathered plenty, I see!{nl}Have your pick, then.
QUEST_20160925_004297	I have nothing to trade you for that.
QUEST_20160925_004298	How many do you need?
QUEST_20160925_004299	Let me know how many you need.
QUEST_20160925_004300	I can't trade you anything for such little silver.{nl}Come back next time.
QUEST_20160925_004301	You're going to need a bit more silver for that.
QUEST_20160925_004302	Tell me once again how many you need.
QUEST_20160925_004303	Let me know again how many you need.
QUEST_20160925_004304	It's been confirmed that the king commands a large army. {nl}But if General Hayatin can muster enough volunteer soldiers,{nl}the incompetent king will likely surrender or retreat.
QUEST_20160925_004305	Alas, everything occurred as Laima predicted.{nl}All we could do was endure this long and strenuous war, weakened as we were.{nl}
QUEST_20160925_004306	It's a good idea to sell the various items you get from killing monsters, {nl}but using them to craft new items isn't such a bad idea either.
QUEST_20160925_004307	The 'Taoist's Secret Recipe' event has begun.{nl}Defeat monsters for a chance to obtain dumpling ingredients.
QUEST_20160925_004308	King Zachariel had made many arrangements for future generations. {nl}We and the Jonas family were one of them. {nl}But the meaning of the arrangements is only known by the goddess. {nl}At least we know that the will of the king that we are protecting and the secret of the tomb indicates one person.{nl}
QUEST_20160925_004309	We've finally arrived in front of the Zachariel's Royal Mausoleum. {nl}He was the first king of this kingdom and used an enormous number of people to build it. {nl}I believe only this place can answer the question I've had in my mind for a long time.{nl}
QUEST_20160925_004310	There are mainly two ways to spread the curse. {nl}First, using equipment and uttering simple words. It sounds easy but it is, in fact, the hardest way. {nl}Therefore, from the example of the Pilgrim's Way, we mainly use the cursed ones as the mediums to spread the curse.{nl}
QUEST_20160925_004311	They say there are many holy relics hidden in the Tenet Church. {nl}Some of them are said to transport people to a place where no one can go... {nl}Amazing, isn't it?
QUEST_20160925_004312	Shapeshifting is a very profound type of magic, but simply learning it will not make you stronger.{nl}If you can't use it in battle, you're better off learning something else.
QUEST_20160925_004313	I knew well what destiny awaited Zanas...{nl}And I knew he himself was ready to accept it, yet I had no choice but to trust him with the revelation.{nl}
QUEST_20160925_004314	I found by experimenting that Rafflesias aren't affected by venom.{nl}The results show that their sticky sap is resistant to toxins.{nl}By adding sticky Rafflesia sap to an antidote solution, then, I verified a remarkable increase in its effectiveness.{nl}Using this could allow the other researchers to work with stronger types of poison.
QUEST_20160925_004315	Unlike priests who control the blessing of the goddess directly, {nl}the wizard is defined as a person who releases various magic information or the blessing of the goddess.
QUEST_20160925_004316	I will try and find more information.{nl}Let's talk again later.
QUEST_20161005_004317	Tales of fighting with monsters or Demons will help the Goddesses.{nl}Can you tell me more?
QUEST_20161005_004318	You're a Revelator that has reached Rank 8.{nl}This is a small gift for all of those that have endeavored to bring peace to the world.
QUEST_20161005_004319	Congratulations on reaching Rank 8.{nl}May you be blessed by the Goddesses.
QUEST_20161005_004320	The thief who had foolishly entered this tower to rob it was burned alive. {nl}At the very least, the monuments he left will serve as a warning to other trespassers. {nl}- Agailla Flurry
QUEST_20161005_004321	Fedimian is a very old city, and is surrounded by countless ruins and wonders. {nl}The Mage Tower, the Cursed City and the Great Cathedral are the most noteworthy.
QUEST_20161005_004322	The goddesses left several things in the hands of the first Paladin.{nl}For instance, the threat of Demon Queen Gesti, the commandments and much more...{nl}
QUEST_20161005_004323	You must be the one who released Goddess Saule.{nl}What are you putting your life on the line for?
QUEST_20161005_004324	Trees become bigger as years pass.{nl}There are only Woodmen here, but when you think of the large trees or even the giant tree that stands in the old capital city...{nl}You can't help but think of the existence of even larger tree monsters.{nl}We must always consider the possibility, since so many plants turned into monsters after the disaster.
QUEST_20161005_004325	It seems as if it needs a bit more purification...
QUEST_20161005_004326	While I was doing that, I learned of the field of accumulation. {nl}It's an empty field. The theory of the beginning and the end is a fantastic library,{nl}at the boundary of transcendency, all for one purpose.
QUEST_20161005_004327	Fallen Legwyn Family Dungeon (Recommended Lv : 130){nl}Only you and your party members can enter together.{nl}Do you want to enter?
QUEST_20161005_004328	...With the world falling into calamity I, Ili Terid, a master proudly carrying the achievements{nl}of previous Psychokinos, believed that recording our pre-Medzio Diena history{nl}was a very important task, and decided to take the pen in my own hands.{nl}
QUEST_20161005_004329	My twin sister, May Patt, is the Wugushi Submaster who's currently far away in Klaipeda.{nl}Orsha is bad enough; I can't imagine how things are over there...
QUEST_20161005_004330	I was asked to deploy the clerics and supply Holy Water.{nl}I was told to send them to Commander Julian's unit, so you will probably meet the Master there.
QUEST_20161005_004331	Yes. Maybe a human family that has survived for a long time such as the Jonas family...{nl}Someone that has eternal life like the Amjinas is sure to know something.
QUEST_20161005_004332	The First Clue
QUEST_20161005_004333	{@ST43}First{/}{nl}There are broken magic circles and magic stones left.
QUEST_20161005_004334	The Second Clue
QUEST_20161005_004335	{@ST43}Second{/}{nl}There are many locations and devices on the documents that are difficult to see as military use.
QUEST_20161005_004336	The Third Clue
QUEST_20161005_004337	{@ST43}Third{/}{nl}There is a magic circle that reacts by blinking a green light.{nl}This magic circle is top secret.
QUEST_20161005_004338	The Fourth Clue
QUEST_20161005_004339	{@ST43}Fourth{/}{nl}The Wall Maintenance Mage had researched chemicals that kill or stunt the growth of plants.
QUEST_20161005_004340	{@ST43}Second{/}{nl}There are many locations and devices on the documents that are difficult to see as military use.
QUEST_20161005_004341	The Fifth Clue
QUEST_20161005_004342	{@ST43}Fifth{/}{nl}The magically enhanced paper contained Operation Orders.{nl}The Orders mentioned 'The Day of Revelation' and measures to take when it happens.
QUEST_20161005_004343	Kupole Jore
QUEST_20161005_004344	Wait.{nl}I think we're looking at something the wrong way.
QUEST_20161005_004345	Let's take a closer look.{nl}I'm sure we missed something.
QUEST_20161005_004346	Perhaps the true meaning of the Three Layered Castle Wall is...
QUEST_20161005_004347	Yes! That's it.{nl}There was a reason why Goddess Laima raised the walls here!
QUEST_20161005_004348	I don't think that makes sense.{nl}I think something might come to me... Let's think this one through carefully.
QUEST_20161005_004349	Kupole Liepa
QUEST_20161005_004350	I think that our current hypothesis is faulty.{nl}Let's try thinking this through once more.
QUEST_20161005_004351	But it says that there was oil in the oil barrels...{nl}Why would the Oil Barrels be out of the storage if they weren't used during Medzio Diena?
QUEST_20161005_004352	Yes...{nl}I get it now.
QUEST_20161005_004353	There's something bothering me about considering that as an answer.{nl}Let's try rethinking it.
QUEST_20161005_004354	{@ST43}First{/}{nl}The Impact Absorption Magic Circles are all full of magic
QUEST_20161005_004355	{@ST43}Second{/}{nl}There are no oil barrels in storage.
QUEST_20161005_004356	{@ST43}Third{/}{nl}All of the oil barrels are out of storage and are full of Oil.
QUEST_20161005_004357	{@ST43}Fourth{/}{nl}The Flamethrowing Magic Stone is functional and spews flames to all that approach.
QUEST_20161005_004358	{@ST43}Fifth{/}{nl}There are action plans that indicate preparations for Medzio Diena.
QUEST_20161005_004359	Being stationed at the Wall is so tiresome.{nl}When I listen to my friends stationed elsewhere, it seems as if we have at least twice as much work to do.{nl}I have no idea why they're so concerned about this place.
